id,FEMALE,studyethraw,ETHN_CMP,do1,do2,do3,do4,do5,do6,do7,psolv1,psolv2,psolv3,psolv4,psolv5,psolv6,psolv7,psolv8,SOC_STRS,BOTHR_U,negmood1,posmood1
23753,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23802,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.6
23803,1,5,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,3,1.6,2.4
23811,1,4,4,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,3,1.2,2.8
23815,1,6,5,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,4,1.8,2.2
23828,1,2,2,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,4,3.6,2.4
23831,1,7,5,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,1.4,4
24020,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24104,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24112,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24315,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,3.2
24405,1,4,4,1,0,1,1,1,0,1,0,NA,0,1,1,1,1,1,1,1,1.2,3.8
24413,0,4,4,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,3
24417,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24418,1,5,2,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,2.2,2.8
24425,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24426,1,8,5,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,5,3,2
24807,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24902,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24906,0,4,4,0,0,1,1,1,0,0,1,1,NA,0,0,0,1,1,1,2,1.4,3.2
24921,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2.2
26015,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26016,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26017,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26021,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26023,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26024,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26025,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26028,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26029,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26031,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26033,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26034,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26048,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26049,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26104,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26105,0,5,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8,2.8
26113,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1.8,2.8
